,star,reviews
0,5,"Hey everyone
After reading all reviews I have purchased this laptop.
Received it today early morning. It took 3 hours to start and then I took help of HP Support system and the issue was resolved within 5 mins. So go for it. Display and sound it too good as per me. Highly recommended for students."
1,5,"It is a great laptop for office work, specifically for beginners. It comes with Windows 10 and MS Office for 1 year and it is very easy to register the software through Microsoft Account. Although the Storage is only 256GB but it is enough for normal document storage. Besides 256GB SSD along with 8GB Ram makes it a faster device to operate. It boots quickly and the inbuilt speakers are loud enough. It is a small size and light weight laptop. It is easy to carry and budget friendly. One cannot..."
2,5,Nice product suitable for any type of working and not too short works fast
3,5,if you search laptop for kids and also for office work within your limited budget this is your best choice.Thanks for flipkart for provide me with in time period in the pandemic situation. easy for installation and easy for do all activity if you little know about laptop.
4,4,The biggest use case for a laptop is probably as a portable workstation they can be carried to office or to college. This laptop has to be powerful enough to get work done fast. It should be a device with a healthy battery back up and at the same time not too bulky. And it helps immensely if it’s easy on the wallet. HP’s new laptop called HP 14s is a product that tries to condense all the above-mentioned requirements . I am very happy.
5,3,"This is a good laptop. I'm happy with it. Since SSD harddrive and 8GB RAM have been installed, the performance of the system is quite good. Thank you Flipkart for delivering on time."
6,5,"Using for the last two weeks, at this price point a good option. About the unit, the performance is very good since it has SSD storage. For online classes and for minor office works it will be useful. No major cons... No doubt!!! Go for it👍"
7,5,"Excellent product for online classes and office work. Value for money , it has good speed and work faster .

Blindly I said go for it ."
8,4,"The base is becoming a bit Heat within 30 minutes . But there is no problem. Overall, it is a Nice laptop."
9,4,In this price range its best laptop.
10,5,This laptop is very good at this price range.performance is top notch Ryzen 5 processor handle task very easily.Design is also awesome and build quality is very good.
11,4,"Battery Backup is Normal as in any laptop. full Charging takes below 2.5 hours to 3 hours.
Small & cute laptop with Superb design.
every feature are available in the laptop as in any other laptops.also MS office free for 1 year..start up is very fast.. Loved it 👍"
12,5,"Love this laptop in this price with gorgeous display 14 inches.
Nice back-lit for use at night and as well very smooth working finger print. Over all nice laptop please buy."
13,1,"Wifi connection is not working properly hardware issue, also i m experiencing differences in performance compare to top laptop brands like dell, asus, hp lenovo, it feels like avita is a boy laptop not for professionals"
14,5,"Awesome performance, better than the i5 version. Design wise it is as comfortable as MacBook"
15,5,"Awesome laptop in this price range at 30k... Ryzen processor is best as compared to intel or any other...guys Dont think, go ahead with it... I really love it"
16,3,"Good at the price point, however it heats and fan noise is significant under minimal usage, please buy if and only if you are fine with that....as well speaker is average or below average. Performance won't be an issue , untill and unless you are doing something real heavy"
17,5,"Happy to have trusted Avita and Flipkart! From the specs perspective, this is just the config I need, also the price was well within my budget. If I had waited a few more days, I could've got it cheaper by another 2k on Flipkart though. No complaints whatsoever."
18,5,Oh My God! This is awsooooome🤘🤘🤘 i am loving it.. Super... fastes laptop in this price range. Battery is need to be improve overall it's just woow... Thank u flipkart for such a cool laptop at cheap price..
19,5,Best laptop at this price fantastic performance and mindblowing design you should also try this epic machine and backlit keyboard is like cheery on cake
20,3,"Writing after a week of usage
Positives:
Light and lavish design
Display is very good
Performance is great at this price bracket
Sound is decent not as bad as everyone saying
Negatives:
Battery is very bad melting like ice in desert
If you use lightly it can sustain for 3 hours
Heavy use not even 2 hours
Conclusion:
Not recommended for heavy users
Light users can go for it without any thoughts
PDFs, browsing, videos etc"
21,5,Battery stand by upto 3 to 4 hours it is good . Design is too compact not so lighter but is good only for rs 29990 ....
22,4,"This is a NICE LAPTOP.
It comes with i3 10th gen which is obviously not for gaming. In terms of performance on the basic usage, it's up to the mark!! It has good frequency 8gb ram so it feels 2 times smoother. If we talk about battery then it's just like 1.5 year old laptop, I mean it has low battery backup just like 1.5 year to 2 year old laptop. It runs 2-3 hrs on battery while reading and browsing. And it don't charge upto 100% due to windows feature of over charging prevention. It charge ..."
23,4,"A budget laptop. 8GB RAM makes it a little bit faster. Decent display, lightweight (easy to carry) and preloaded windows 10 operating system are some of its highlights at its budget price range. It is useful for net surfing, for online classes, watching movies etc. However it is not for gaming as it does not have a graphics card. Sound is not up to the mark. Camera quality is low. To sum it up, it's a good laptop for normal day to day use considering its budget price range."
24,2,"The specification on paper is very impressive, but in reality it is not so. System is Very slow. Performance is not good. Battery is draining fast. It is really a cheat and spoil lenovo reputations. Not advisable product."
25,5,Awesome
26,1,"Product review: I bought this laptop as I've used Lenovo laptops before but the quality of this laptop is just horrible. I'm really disappointed with its sound system . If someone is speaking in the same room and at same time you're watching video on this laptop you can not hear audio on laptop. Here it's described that product has Dolby sound system but it is a marketing agenda. Do not buy this product.
Flipkart service review: As I received the product I asked for return within 24 hours but..."
27,3,"I got the laptop yesterday.
Battery is not lasting more than 3 hour.
Sound is not so low.
Camera is not working properly.
Sometime laptop is acting very slow.
Overall good product in this price"
28,1,Don't waste your money for this laptop
29,4,Battery backup is major issue.
30,5,"It's a good laptop with no issue as such ! Screen is IPS good viewing angles ! Battery is decent 4-5hr easily!
Build quality is good previously i was using HP 14s i3 11th gen, the quality was poor, though it is a good laptop when it comes to performance.
The only issue is it's VRAM which is 512mb quite low !! You can't play GTA V in even 720p, which is possible in i3 11th gen which can play it in 1080p.
Rest it's a good piece of hardware."
31,4,Looks is fine... Easy to carry! But can't play a normal 4k video from pendrive and there is no antiglare display. So in sunlight or in normal bright light you might face some issues. Otherwise it's a good choice.
32,4,"I wanted a backup system (to work during thunderstorm) for work and didn't want to spend much. I got it for 39000 without any offers but still satisfied with my purchase. The processor, ram and ssd combination is good enough for web development. I didn't face any lag while coding in vs code. Used photoshop and illustrator as well. Display is too good. Built with plastic but still seems steady."
33,5,"It has been 20 days i am using this laptop , no doubt it is a good laptop with decent performance and good battery life of 6 -7hours. But i have noticed few cons
1- It's design is good ,it is sleek but still it is not so sturdy , i find it delicate and should be handled with care.
2- It has only two USB slots sometimes this becomes a big problem.
3- Although it has full hd screen but it is very reflective in low Brightness you can see your face and things in background. I don't understand wh..."
34,4,"Pros:
1. Display is really good.
2. It's compact and Lightweight
3. It's better for Programming and development work in this price range (37 K)
4. Multitasking is good and smooth.
5. Booting start within 4-6 sec.
6. Restart within 12-18 sec.
7. Genuine Windows with Microsoft Office
8. Battery back-up is descent
9. Perfect for student

Cons:
1. Fan position is very bad. Display get warm by hot air flow (Who's the architect???)
2. Camera quality is not so good
3. Voice recording is also little..."
35,5,One of the best value laptops out there in the budget range. Possibly an entry level gaming laptop which can play a good game at the normal or low settings perhaps with an additional 8gb Ram. I took it for home use and for kids for their online classes. It has not failed me and quite happy with the deal.
36,5,This is good one in this price range. You can buy it. Look is classy and having good configuration. Easy to use and robust design.
37,4,"The following cons and pros are keeping the price bracket in mind.

Cons:
1) Build quality is pretty poor. Feels like a toy.
2) Keyboard is horrible. It's not a pleasant experience typing
on this.
3) Trackpad feels cheaper than the price paid.

Pros:
1) App loading times and boot times are snappy with the
SSD.
2) Performance is solid
3) Sound quality is decent.
4) Display has decent brightness.

Overall good for 1st time users but if you have used a half decent ..."
38,4,"Nice product , cool design and killer look . Processor Speed sufficient and the more can say that satisfied of all respects"
39,4,"Nice laptop in this price range, satisfied with its performance but one thing is missing.
There is no backlit keyboard."
40,4,"Excellent value for the price.
So the laptop arrived after 3 days and was inside 3 boxes. Coming to the review:
8GB ram is a bit less, should definitely upgrade to 16GB. However, it has warranty sticker om top of one of the screws, so I don't know if you can upgrade it yourself. Acer service center will charge you 8k for the ram upgrade (P.S. - I personally went there and checked).
Coming to the laptop the hinges of the laptop rotate 180°, but are on the lose side if you compare it with other..."
41,5,"A really value for money purchase imo. Tried Shadow of Tomb Raider - got 60 fps at medium high.
Some pointers regarding the product:
1- it does not have a finger print sensor as it's 1650 counterpart
2- you may claim free games from Intel by googling ""softwareoffers Intel"" (this keeps changing regularly, currently cuphead, Cyclist, world of worships and Gear Tactics along with Trial version of Origin pass is being provided)
3- Download Geforce Experince from Nvidia's site for better optimisa..."
42,4,Waited four days for this laptop man! i5 9th gen paired with Gtx 1650ti performance is very good. Battery is sufficient. Gaming on this laptop is good can run anything. I was able to play game around 45mins -55mins on Battery(with Nvdia Battery 30fraps locked on) its works like a charm and is super silent but when u plug the power cable for better performance its gets hot while gaming but thts normal.Even the sound is more than good enough. Many says sound is not good but bro its more than go...
43,4,Acer aspire 7 is one of the best gaming laptop with affordable cost when compared with other gaming laptops GTA 5 goes butterly smooth without any lag you can play it with 1080 resolution. Screen of the laptop is Full HD display and it's awesome .Battery of the laptop is 4hrs with full brightness and with online . U can expand it but turning on battery saver and low brightness with 5hrs .but while gaming the battery lasts only for 1-2hrs. If battery not an issue u can better go with . The la...
44,5,"This laptop is pocket friendly for casual gamers.....we can say that it is the cheapest gaming laptop......the features are excellent for that price point......
The overall build quality is great, though it looks simple it is a beast in performance.
I have been using this laptop from past 20 days and have observed-
1. The display screen has a yellow tinge, but it's not a problem

2. The sound is a bit low.

3. There is a connectivity issue with this laptop and the TP- link router model no. T..."
45,3,"rating after 1 month use. Rate out of 5
Battery : 1.
After using one month, battery drain very fast even in best battery life mode.
Performance : 4
Even after nvidia graphic card sometimes it stuck in design software, otherwise performance is good.
Display : 4
Display is really good. But brightness is not good, who use low brightness in dark. Screen can open upto 180
Heating: 4
For all Gaming laptop upto Rs1.5 lakh heating is very common, so overall good in heating.
Body : 3
complete plasti..."
46,5,"Was worried a lot about buying a laptop on flipkart as this was my first time to order a huge amount... But I’m very happy. Fantastic Laptop in today’s Date.. Just go for it blindly. Some people says that Cooling system and speakers are bad. But i don’t think so.. That’s the best laptop in this budget. While playing GTA 5 , GPU temperature was about average 45-48 Celcius and CPU temperature was about Average 65-70 celcius and FPS was 60+ which was making buttery smooth experience. However you..."
47,5,"Recieved the product 2 dayS earlier thanks to flipkart.

Laptop is awesome at this price range

FHD IPS display is great

Fast as hell

I got 432Gb free to use

I5 I'd better that ryzen 5 in aspire 7

Only problem is:
only one ssd slot and speaker sound is low"
48,5,"I purchased this laptop on 18 February 2021, got delivered by 23 February 2021. Had to pick the laptop myself from the EKART hub, since delivery person couldn't take laptop for delivery.

Make sure to make a video while unboxing, so in case any damages to the product, you get easy replacement.

I unboxed, and alas, it was so beautiful. Make sure to check all the ports, usbs, any scratches or fingerprints. Now you may end the video making.

Plug into your charging, and on the laptop. SSD bo..."
49,5,"Amazing laptop having every required features ...cool design,backlit keyboard,8gb ram ,sufficient rom, really good cooling system and smooth response...for sure perfect for gaming and also for other non gaming works....maximum features in reasonable price ...a little heavy ...but as a gaming laptop this is not a big issue...go for it...and try to buy it in sale"
50,4,"Very decent configuration on paper. Fairly decent to work with too.
My points of contention -
a. Loaded with tons of 'bloatware' - from HP, Microsoft etc.
b. Flimsy construction - especially the keyboard
c. Flimsier trackpad - absence of the left & right-click buttons, makes the trackpad an all-in-one piece of plastic which rattles on extended use. I'd suggest the use of an external mouse, right from the start

So, for 44K it's a good buy. Especially for WFH challenges and for online classes."
51,5,"Good product. Delivered 2 days in advance of originally committed date. Very good packaging. Appreciate the service. Product is good as specified, light weight, screen is bright and attractive."
52,5,"It is a good buy.
Better battery backups
Better performance
Looks & design fantastic."
53,5,Classy product
54,5,Good product
55,5,Nice
56,5,"I Am Writing This Review After 7 Days Of Usage.

I Am Satisfied This Product.
🌟🌟🌟🌟🌟

- Design 10/10
- Battery 8/10
- Display 10/10
- Performance 8/10
- Camera 4/10
- Sound 6/10
- Software Experience 9/10

- Performance is Superb.
- Battery Backup Is 5-6 hour
- Fast Charging <<Full Charge :- 1.5 Hour>>
- Fast On & Off.
- But Sound Quality Is Average.
- Camera Quality Is Very Low."
57,5,"Good laptop with needful specifications.

Hard disk - 1 TB HDD
Ram - 8 gb
Finger print sensor - yes


Overall stylish and worth on this price range. Thanks flipkart"
58,4,Better for the price
59,5,"Good for money
Style good"
60,5,"Design 10/10
Display 10/10
Performance 8/10"
61,5,Wow terrific
62,4,"Good choice under 45k. Since there is a SSD slot, can be upgraded easily."
63,5,Best laptop
64,5,That's a amazing product..nice to purchase this lepi..
65,5,Very good
66,2,"I PURCHASED LAPTOP 1 MONTH BACK AND NOW I AM FACING BATTERY/SOME HARDWARE ISSUE. LAPTOP BATTERY IS NOT CHARGING. I LOCKED CASE WITH ACER SUPPORT BUT NO PROPER RESPONSE, GENERIC STATEMENTS, I AM WAITING SINCE 8 DAYS AND STILL NO ONE ATTENDED THE TROUBLE SHOOTING CALL, NO LINK FOR CASE TRACKING, I AM COMPLETELY UNAWARE ABOUT MY CASE STATUS. THE LINK THEY HAVE PROVIDED IS NOT WORKING. PRODUCT IS GOOD BUT SUPPORT IS REALLY POOR AND I MUST SAY PLEASE CHECK MY REVIEW BEFORE BUYING ACER PRODUCTS."
67,4,"Laptop is good at 8gb ram. After I've upgraded it to 16gb. It's working absolutely Great.
I play PUBG on Smooth Extreme and it's totally smooth.
I've tried HD and Extreme and it works fine but heats so i orefer smooth and Extreme.
Upgrade Ram to 16gb and It'll be very fast.
Btw it boots within 10seconds."
68,4,"Battery is ok
Display ..good but not great
Speed is fabulous
On time.8 sec.
Off time.4.sec.
Ram rom. Is competitive...
Processor is good enough to beat i5
My price was 41990
But now price hike...but aweroll value for money product. I can recommend any one below 45 k"
69,5,"My first impression and One day full usage.
1. The very fist thing i was impressed was the Design and build quality. Very very satisfying design The surface are smooth matte finished. Very hardly fingerprints would pickup. Though the material is plastic, you would never feel bad.
2. The hinge was very thin and of good quality. You can lift it off with one finger. You can flex your hinge to flat upto 180degree.
3. Display, I think this is one of the best display for this budget. FHD anti g..."
70,4,"Best laptop for this price range. Good for both programming and gaming. Also it arrived before the estimated date which is really good👍👍👍👍

Edit(after 3 days of use) - Battery not that good. If i keep the laptop open from 100%battery...it gets upto 80% within 10 mins. Also I was using VS Code and the battery drained from 100% to 40% in battery saver mode within 1 hour. OVERALL THIS LAPTOP IS A BEAST FOR THIS RANGE."
71,5,"Very good performance laptops this range. Fast charging, display so good, overall quality wise good. Very fast booting and shutting down."
72,5,Its just fab best budget friendly gaming laptop it works so smooth
73,4,If you want a lowest budget gaming laptop then i would recommend this one as i got it in 45000 during big billion sale. If you are a gamer & want a lowest budget laptop with high specs then go for it but if your budget is good then you should go for other laptops. The working is perfect but when i purchased this one around a month my laptop adapter gone down & it took a week for a new one.
74,5,"Looks surprisingly sleek for an entry level gaming laptop so it can be easily carried into professional environment as it doesn't have that flashy gamer body design but packs a punch under the hood. I'm very impressed by what this device is capable of. I've bought this mainly for college work and the GTX 1650 graphics card really enabled this machine to game as well as perform college tasks. The display isn't the greatest but for the price you're paying for this hardware, it's quite acceptabl..."
75,4,"If you are looking for a laptop for graphic intensive tasks like video editing , photoshop , playing heavy games then this is the best you can get under 50k for sure. Because this laptop has 6gb ram for graphics alone!

On the other hand if you want it for regular office work like browsing , streaming content , or making word and ppts then I would recommend you to go with an i3 laptop which will cost around 35k .

This thing is a beast and that's why it sucks that much juice. If you wont be u..."
76,4,"pros:
1. cooler boost keeps laptop reasonably cool.
2. display is nice
3. boot time and loading time is also great thanks to ssd

cons:
1. 8gb ram is not enough
2. out of 512gb you get around 380gb ssd although fast is not enough.
3. performance according to price is great but gtx 1650 in other laptops is better than 1650ti maxq
4. speaker is clear but has no base and is poorly positioned

If you want to buy this laptop be ready to shed more money on storage and ram"
77,4,"Honestly this is my first laptop
I think its good but not sure though
But with decent specs its the best in this price range with max q and ti
And it also comes with the 2 year warrenty
I think its decent for its price range and the best one to get i cant give you the full review yet but as far as i have used its fun
Thanks for the product"
78,3,"Good graphics performance but still You'll not feel it's 9th Gen I5 processer.
You'll feel lags in each task like opening windows explorer or editing videos.
Video rendering speed is very good but while editing it hangs so many times.
I have another Asus i5 processer without graphics but that's working like MAKHAN
Keyboard is also little different so it takes time to get used to it.
And yes you'll see it's heating more than normal when you're rendering videos or playing games"
79,5,"I am writing this review after 2 weeks.
Just go for blindly if you got it for around 60k ,

The i5 with GTX graphics card games gonna run smoothly
You can All games can play in 60fps according to your customisation
And modern games like valhalla ,days gone , resident above 50fps .
Webcam quality is ok.
Display quality is superb. And have less bezels.
If you experience any lag connect the charger and keep the battery in Windows at best performance mode and select extreme performance mode in..."
80,4,"Everything is perfect 😊
Just only issue is that it has only single fan yes it has heat pipe connected to both cpu and gpu but still single fan is not enough to cool this powerful beast
Maybe a cooling pad will help"
81,5,"Don't think twice just go for it...
Battery is OK don't expect good battery backup in gaming laptops.
Ssd Is fast and if you want to change from those core companies like dell and asus go for msi you will not regret it..
If you want second options go for asus tuf or Lenovo legion y540 but if you are getting this laptop under 57000 then go for it"
